INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionIntTechOMvar,,,,,,
,,,,,,
region,supplysector,subsector,intermittent.technology,year,input.OM.var,OM.var
PB,electricity,solar,CSP,2075,OM-var,4.751833333
PC,electricity,solar,CSP,2075,OM-var,4.751833333
RJ,electricity,solar,CSP,2075,OM-var,4.751833333
SK,electricity,solar,CSP,2075,OM-var,4.751833333
TN,electricity,solar,CSP,2075,OM-var,4.751833333
TR,electricity,solar,CSP,2075,OM-var,4.751833333
TS,electricity,solar,CSP,2075,OM-var,4.751833333
UP,electricity,solar,CSP,2075,OM-var,4.751833333
UK,electricity,solar,CSP,2075,OM-var,4.751833333
WB,electricity,solar,CSP,2075,OM-var,4.751833333
AN,electricity,solar,CSP,2080,OM-var,4.751833333
AP,electricity,solar,CSP,2080,OM-var,4.751833333
AR,electricity,solar,CSP,2080,OM-var,4.751833333
AS,electricity,solar,CSP,2080,OM-var,4.751833333
BR,electricity,solar,CSP,2080,OM-var,4.751833333
CG,electricity,solar,CSP,2080,OM-var,4.751833333
CH,electricity,solar,CSP,2080,OM-var,4.751833333
DD,electricity,solar,CSP,2080,OM-var,4.751833333
DL,electricity,solar,CSP,2080,OM-var,4.751833333
DN,electricity,solar,CSP,2080,OM-var,4.751833333
GA,electricity,solar,CSP,2080,OM-var,4.751833333
GJ,electricity,solar,CSP,2080,OM-var,4.751833333
HR,electricity,solar,CSP,2080,OM-var,4.751833333
HP,electricity,solar,CSP,2080,OM-var,4.751833333
JK,electricity,solar,CSP,2080,OM-var,4.751833333
JH,electricity,solar,CSP,2080,OM-var,4.751833333
LA,electricity,solar,CSP,2080,OM-var,4.751833333
LD,electricity,solar,CSP,2080,OM-var,4.751833333
KA,electricity,solar,CSP,2080,OM-var,4.751833333
KL,electricity,solar,CSP,2080,OM-var,4.751833333
MH,electricity,solar,CSP,2080,OM-var,4.751833333
ML,electricity,solar,CSP,2080,OM-var,4.751833333
MN,electricity,solar,CSP,2080,OM-var,4.751833333
MZ,electricity,solar,CSP,2080,OM-var,4.751833333
MP,electricity,solar,CSP,2080,OM-var,4.751833333
NL,electricity,solar,CSP,2080,OM-var,4.751833333
OD,electricity,solar,CSP,2080,OM-var,4.751833333
PB,electricity,solar,CSP,2080,OM-var,4.751833333
PC,electricity,solar,CSP,2080,OM-var,4.751833333
RJ,electricity,solar,CSP,2080,OM-var,4.751833333
SK,electricity,solar,CSP,2080,OM-var,4.751833333
TN,electricity,solar,CSP,2080,OM-var,4.751833333
TR,electricity,solar,CSP,2080,OM-var,4.751833333
TS,electricity,solar,CSP,2080,OM-var,4.751833333
UP,electricity,solar,CSP,2080,OM-var,4.751833333
UK,electricity,solar,CSP,2080,OM-var,4.751833333
WB,electricity,solar,CSP,2080,OM-var,4.751833333
AN,electricity,solar,CSP,2085,OM-var,4.751833333
AP,electricity,solar,CSP,2085,OM-var,4.751833333
AR,electricity,solar,CSP,2085,OM-var,4.751833333
AS,electricity,solar,CSP,2085,OM-var,4.751833333
BR,electricity,solar,CSP,2085,OM-var,4.751833333
CG,electricity,solar,CSP,2085,OM-var,4.751833333
CH,electricity,solar,CSP,2085,OM-var,4.751833333
DD,electricity,solar,CSP,2085,OM-var,4.751833333
DL,electricity,solar,CSP,2085,OM-var,4.751833333
DN,electricity,solar,CSP,2085,OM-var,4.751833333
GA,electricity,solar,CSP,2085,OM-var,4.751833333
GJ,electricity,solar,CSP,2085,OM-var,4.751833333
HR,electricity,solar,CSP,2085,OM-var,4.751833333
HP,electricity,solar,CSP,2085,OM-var,4.751833333
JK,electricity,solar,CSP,2085,OM-var,4.751833333
JH,electricity,solar,CSP,2085,OM-var,4.751833333
LA,electricity,solar,CSP,2085,OM-var,4.751833333
LD,electricity,solar,CSP,2085,OM-var,4.751833333
KA,electricity,solar,CSP,2085,OM-var,4.751833333
KL,electricity,solar,CSP,2085,OM-var,4.751833333
MH,electricity,solar,CSP,2085,OM-var,4.751833333
ML,electricity,solar,CSP,2085,OM-var,4.751833333
MN,electricity,solar,CSP,2085,OM-var,4.751833333
MZ,electricity,solar,CSP,2085,OM-var,4.751833333
MP,electricity,solar,CSP,2085,OM-var,4.751833333
NL,electricity,solar,CSP,2085,OM-var,4.751833333
OD,electricity,solar,CSP,2085,OM-var,4.751833333
PB,electricity,solar,CSP,2085,OM-var,4.751833333
PC,electricity,solar,CSP,2085,OM-var,4.751833333
RJ,electricity,solar,CSP,2085,OM-var,4.751833333
SK,electricity,solar,CSP,2085,OM-var,4.751833333
TN,electricity,solar,CSP,2085,OM-var,4.751833333
TR,electricity,solar,CSP,2085,OM-var,4.751833333
TS,electricity,solar,CSP,2085,OM-var,4.751833333
UP,electricity,solar,CSP,2085,OM-var,4.751833333
UK,electricity,solar,CSP,2085,OM-var,4.751833333
WB,electricity,solar,CSP,2085,OM-var,4.751833333
AN,electricity,solar,CSP,2090,OM-var,4.751833333
AP,electricity,solar,CSP,2090,OM-var,4.751833333
AR,electricity,solar,CSP,2090,OM-var,4.751833333
AS,electricity,solar,CSP,2090,OM-var,4.751833333
BR,electricity,solar,CSP,2090,OM-var,4.751833333
CG,electricity,solar,CSP,2090,OM-var,4.751833333
CH,electricity,solar,CSP,2090,OM-var,4.751833333
DD,electricity,solar,CSP,2090,OM-var,4.751833333
DL,electricity,solar,CSP,2090,OM-var,4.751833333
DN,electricity,solar,CSP,2090,OM-var,4.751833333
GA,electricity,solar,CSP,2090,OM-var,4.751833333
GJ,electricity,solar,CSP,2090,OM-var,4.751833333
HR,electricity,solar,CSP,2090,OM-var,4.751833333
HP,electricity,solar,CSP,2090,OM-var,4.751833333
JK,electricity,solar,CSP,2090,OM-var,4.751833333
JH,electricity,solar,CSP,2090,OM-var,4.751833333
LA,electricity,solar,CSP,2090,OM-var,4.751833333
LD,electricity,solar,CSP,2090,OM-var,4.751833333
KA,electricity,solar,CSP,2090,OM-var,4.751833333
KL,electricity,solar,CSP,2090,OM-var,4.751833333
MH,electricity,solar,CSP,2090,OM-var,4.751833333
ML,electricity,solar,CSP,2090,OM-var,4.751833333
MN,electricity,solar,CSP,2090,OM-var,4.751833333
MZ,electricity,solar,CSP,2090,OM-var,4.751833333
MP,electricity,solar,CSP,2090,OM-var,4.751833333
NL,electricity,solar,CSP,2090,OM-var,4.751833333
OD,electricity,solar,CSP,2090,OM-var,4.751833333
PB,electricity,solar,CSP,2090,OM-var,4.751833333
PC,electricity,solar,CSP,2090,OM-var,4.751833333
RJ,electricity,solar,CSP,2090,OM-var,4.751833333
SK,electricity,solar,CSP,2090,OM-var,4.751833333
TN,electricity,solar,CSP,2090,OM-var,4.751833333
TR,electricity,solar,CSP,2090,OM-var,4.751833333
TS,electricity,solar,CSP,2090,OM-var,4.751833333
UP,electricity,solar,CSP,2090,OM-var,4.751833333
UK,electricity,solar,CSP,2090,OM-var,4.751833333
WB,electricity,solar,CSP,2090,OM-var,4.751833333
AN,electricity,solar,CSP,2095,OM-var,4.751833333
AP,electricity,solar,CSP,2095,OM-var,4.751833333
AR,electricity,solar,CSP,2095,OM-var,4.751833333
AS,electricity,solar,CSP,2095,OM-var,4.751833333
BR,electricity,solar,CSP,2095,OM-var,4.751833333
CG,electricity,solar,CSP,2095,OM-var,4.751833333
CH,electricity,solar,CSP,2095,OM-var,4.751833333
DD,electricity,solar,CSP,2095,OM-var,4.751833333
DL,electricity,solar,CSP,2095,OM-var,4.751833333
DN,electricity,solar,CSP,2095,OM-var,4.751833333
GA,electricity,solar,CSP,2095,OM-var,4.751833333
GJ,electricity,solar,CSP,2095,OM-var,4.751833333
HR,electricity,solar,CSP,2095,OM-var,4.751833333
HP,electricity,solar,CSP,2095,OM-var,4.751833333
JK,electricity,solar,CSP,2095,OM-var,4.751833333
JH,electricity,solar,CSP,2095,OM-var,4.751833333
LA,electricity,solar,CSP,2095,OM-var,4.751833333
LD,electricity,solar,CSP,2095,OM-var,4.751833333
KA,electricity,solar,CSP,2095,OM-var,4.751833333
KL,electricity,solar,CSP,2095,OM-var,4.751833333
MH,electricity,solar,CSP,2095,OM-var,4.751833333
ML,electricity,solar,CSP,2095,OM-var,4.751833333
MN,electricity,solar,CSP,2095,OM-var,4.751833333
MZ,electricity,solar,CSP,2095,OM-var,4.751833333
MP,electricity,solar,CSP,2095,OM-var,4.751833333
NL,electricity,solar,CSP,2095,OM-var,4.751833333
OD,electricity,solar,CSP,2095,OM-var,4.751833333
PB,electricity,solar,CSP,2095,OM-var,4.751833333
PC,electricity,solar,CSP,2095,OM-var,4.751833333
RJ,electricity,solar,CSP,2095,OM-var,4.751833333
SK,electricity,solar,CSP,2095,OM-var,4.751833333
TN,electricity,solar,CSP,2095,OM-var,4.751833333
TR,electricity,solar,CSP,2095,OM-var,4.751833333
TS,electricity,solar,CSP,2095,OM-var,4.751833333
UP,electricity,solar,CSP,2095,OM-var,4.751833333
UK,electricity,solar,CSP,2095,OM-var,4.751833333
WB,electricity,solar,CSP,2095,OM-var,4.751833333
AN,electricity,solar,CSP,2100,OM-var,4.751833333
AP,electricity,solar,CSP,2100,OM-var,4.751833333
AR,electricity,solar,CSP,2100,OM-var,4.751833333
AS,electricity,solar,CSP,2100,OM-var,4.751833333
BR,electricity,solar,CSP,2100,OM-var,4.751833333
CG,electricity,solar,CSP,2100,OM-var,4.751833333
CH,electricity,solar,CSP,2100,OM-var,4.751833333
DD,electricity,solar,CSP,2100,OM-var,4.751833333
DL,electricity,solar,CSP,2100,OM-var,4.751833333
DN,electricity,solar,CSP,2100,OM-var,4.751833333
GA,electricity,solar,CSP,2100,OM-var,4.751833333
GJ,electricity,solar,CSP,2100,OM-var,4.751833333
HR,electricity,solar,CSP,2100,OM-var,4.751833333
HP,electricity,solar,CSP,2100,OM-var,4.751833333
JK,electricity,solar,CSP,2100,OM-var,4.751833333
JH,electricity,solar,CSP,2100,OM-var,4.751833333
LA,electricity,solar,CSP,2100,OM-var,4.751833333
LD,electricity,solar,CSP,2100,OM-var,4.751833333
KA,electricity,solar,CSP,2100,OM-var,4.751833333
KL,electricity,solar,CSP,2100,OM-var,4.751833333
MH,electricity,solar,CSP,2100,OM-var,4.751833333
ML,electricity,solar,CSP,2100,OM-var,4.751833333
MN,electricity,solar,CSP,2100,OM-var,4.751833333
MZ,electricity,solar,CSP,2100,OM-var,4.751833333
MP,electricity,solar,CSP,2100,OM-var,4.751833333
NL,electricity,solar,CSP,2100,OM-var,4.751833333
OD,electricity,solar,CSP,2100,OM-var,4.751833333
PB,electricity,solar,CSP,2100,OM-var,4.751833333
PC,electricity,solar,CSP,2100,OM-var,4.751833333
RJ,electricity,solar,CSP,2100,OM-var,4.751833333
SK,electricity,solar,CSP,2100,OM-var,4.751833333
TN,electricity,solar,CSP,2100,OM-var,4.751833333
TR,electricity,solar,CSP,2100,OM-var,4.751833333
TS,electricity,solar,CSP,2100,OM-var,4.751833333
UP,electricity,solar,CSP,2100,OM-var,4.751833333
UK,electricity,solar,CSP,2100,OM-var,4.751833333
WB,electricity,solar,CSP,2100,OM-var,4.751833333
AN,electricity,solar,PV,2010,OM-var,0
AP,electricity,solar,PV,2010,OM-var,0
AR,electricity,solar,PV,2010,OM-var,0
AS,electricity,solar,PV,2010,OM-var,0
BR,electricity,solar,PV,2010,OM-var,0
CG,electricity,solar,PV,2010,OM-var,0
CH,electricity,solar,PV,2010,OM-var,0
DD,electricity,solar,PV,2010,OM-var,0
DL,electricity,solar,PV,2010,OM-var,0
DN,electricity,solar,PV,2010,OM-var,0
GA,electricity,solar,PV,2010,OM-var,0
GJ,electricity,solar,PV,2010,OM-var,0
HR,electricity,solar,PV,2010,OM-var,0
HP,electricity,solar,PV,2010,OM-var,0
JK,electricity,solar,PV,2010,OM-var,0
JH,electricity,solar,PV,2010,OM-var,0
LA,electricity,solar,PV,2010,OM-var,0
LD,electricity,solar,PV,2010,OM-var,0
KA,electricity,solar,PV,2010,OM-var,0
KL,electricity,solar,PV,2010,OM-var,0
MH,electricity,solar,PV,2010,OM-var,0
ML,electricity,solar,PV,2010,OM-var,0
MN,electricity,solar,PV,2010,OM-var,0
MZ,electricity,solar,PV,2010,OM-var,0
MP,electricity,solar,PV,2010,OM-var,0
NL,electricity,solar,PV,2010,OM-var,0
OD,electricity,solar,PV,2010,OM-var,0
PB,electricity,solar,PV,2010,OM-var,0
PC,electricity,solar,PV,2010,OM-var,0
RJ,electricity,solar,PV,2010,OM-var,0
SK,electricity,solar,PV,2010,OM-var,0
TN,electricity,solar,PV,2010,OM-var,0
TR,electricity,solar,PV,2010,OM-var,0
TS,electricity,solar,PV,2010,OM-var,0
UP,electricity,solar,PV,2010,OM-var,0
UK,electricity,solar,PV,2010,OM-var,0
WB,electricity,solar,PV,2010,OM-var,0
AN,electricity,solar,PV,2015,OM-var,0
AP,electricity,solar,PV,2015,OM-var,0
AR,electricity,solar,PV,2015,OM-var,0
AS,electricity,solar,PV,2015,OM-var,0
BR,electricity,solar,PV,2015,OM-var,0
CG,electricity,solar,PV,2015,OM-var,0
CH,electricity,solar,PV,2015,OM-var,0
DD,electricity,solar,PV,2015,OM-var,0
DL,electricity,solar,PV,2015,OM-var,0
DN,electricity,solar,PV,2015,OM-var,0
GA,electricity,solar,PV,2015,OM-var,0
GJ,electricity,solar,PV,2015,OM-var,0
HR,electricity,solar,PV,2015,OM-var,0
HP,electricity,solar,PV,2015,OM-var,0
JK,electricity,solar,PV,2015,OM-var,0
JH,electricity,solar,PV,2015,OM-var,0
LA,electricity,solar,PV,2015,OM-var,0
LD,electricity,solar,PV,2015,OM-var,0
KA,electricity,solar,PV,2015,OM-var,0
KL,electricity,solar,PV,2015,OM-var,0
MH,electricity,solar,PV,2015,OM-var,0
ML,electricity,solar,PV,2015,OM-var,0
MN,electricity,solar,PV,2015,OM-var,0
MZ,electricity,solar,PV,2015,OM-var,0
MP,electricity,solar,PV,2015,OM-var,0
NL,electricity,solar,PV,2015,OM-var,0
OD,electricity,solar,PV,2015,OM-var,0
PB,electricity,solar,PV,2015,OM-var,0
PC,electricity,solar,PV,2015,OM-var,0
RJ,electricity,solar,PV,2015,OM-var,0
SK,electricity,solar,PV,2015,OM-var,0
TN,electricity,solar,PV,2015,OM-var,0
TR,electricity,solar,PV,2015,OM-var,0
TS,electricity,solar,PV,2015,OM-var,0
UP,electricity,solar,PV,2015,OM-var,0
UK,electricity,solar,PV,2015,OM-var,0
WB,electricity,solar,PV,2015,OM-var,0
AN,electricity,solar,PV,2020,OM-var,0
AP,electricity,solar,PV,2020,OM-var,0
AR,electricity,solar,PV,2020,OM-var,0
AS,electricity,solar,PV,2020,OM-var,0
BR,electricity,solar,PV,2020,OM-var,0
CG,electricity,solar,PV,2020,OM-var,0
CH,electricity,solar,PV,2020,OM-var,0
DD,electricity,solar,PV,2020,OM-var,0
DL,electricity,solar,PV,2020,OM-var,0
DN,electricity,solar,PV,2020,OM-var,0
GA,electricity,solar,PV,2020,OM-var,0
GJ,electricity,solar,PV,2020,OM-var,4.17251654
HR,electricity,solar,PV,2020,OM-var,0
HP,electricity,solar,PV,2020,OM-var,0
JK,electricity,solar,PV,2020,OM-var,0
JH,electricity,solar,PV,2020,OM-var,0
LA,electricity,solar,PV,2020,OM-var,0
LD,electricity,solar,PV,2020,OM-var,0
KA,electricity,solar,PV,2020,OM-var,0
KL,electricity,solar,PV,2020,OM-var,0
MH,electricity,solar,PV,2020,OM-var,0
ML,electricity,solar,PV,2020,OM-var,0
MN,electricity,solar,PV,2020,OM-var,0
MZ,electricity,solar,PV,2020,OM-var,0
MP,electricity,solar,PV,2020,OM-var,0
NL,electricity,solar,PV,2020,OM-var,0
OD,electricity,solar,PV,2020,OM-var,0
PB,electricity,solar,PV,2020,OM-var,0
PC,electricity,solar,PV,2020,OM-var,0
RJ,electricity,solar,PV,2020,OM-var,0
SK,electricity,solar,PV,2020,OM-var,0
TN,electricity,solar,PV,2020,OM-var,0
TR,electricity,solar,PV,2020,OM-var,0
TS,electricity,solar,PV,2020,OM-var,0
UP,electricity,solar,PV,2020,OM-var,0
UK,electricity,solar,PV,2020,OM-var,0
WB,electricity,solar,PV,2020,OM-var,0
AN,electricity,solar,PV,2025,OM-var,3.023893939
AP,electricity,solar,PV,2025,OM-var,3.023893939
AR,electricity,solar,PV,2025,OM-var,3.023893939
AS,electricity,solar,PV,2025,OM-var,3.023893939
BR,electricity,solar,PV,2025,OM-var,3.023893939
CG,electricity,solar,PV,2025,OM-var,3.023893939
CH,electricity,solar,PV,2025,OM-var,3.023893939
DD,electricity,solar,PV,2025,OM-var,3.023893939
DL,electricity,solar,PV,2025,OM-var,3.023893939
DN,electricity,solar,PV,2025,OM-var,3.023893939
GA,electricity,solar,PV,2025,OM-var,3.023893939
GJ,electricity,solar,PV,2025,OM-var,4.283783647
HR,electricity,solar,PV,2025,OM-var,3.023893939
HP,electricity,solar,PV,2025,OM-var,3.023893939
JK,electricity,solar,PV,2025,OM-var,3.023893939
JH,electricity,solar,PV,2025,OM-var,3.023893939
LA,electricity,solar,PV,2025,OM-var,3.023893939
LD,electricity,solar,PV,2025,OM-var,3.023893939
KA,electricity,solar,PV,2025,OM-var,3.023893939
KL,electricity,solar,PV,2025,OM-var,3.023893939
MH,electricity,solar,PV,2025,OM-var,3.023893939
ML,electricity,solar,PV,2025,OM-var,3.023893939
MN,electricity,solar,PV,2025,OM-var,3.023893939
MZ,electricity,solar,PV,2025,OM-var,3.023893939
MP,electricity,solar,PV,2025,OM-var,3.023893939
NL,electricity,solar,PV,2025,OM-var,3.023893939
OD,electricity,solar,PV,2025,OM-var,3.023893939
PB,electricity,solar,PV,2025,OM-var,3.023893939
PC,electricity,solar,PV,2025,OM-var,3.023893939
RJ,electricity,solar,PV,2025,OM-var,3.023893939
SK,electricity,solar,PV,2025,OM-var,3.023893939
TN,electricity,solar,PV,2025,OM-var,3.023893939
TR,electricity,solar,PV,2025,OM-var,3.023893939
TS,electricity,solar,PV,2025,OM-var,3.023893939
UP,electricity,solar,PV,2025,OM-var,3.023893939
UK,electricity,solar,PV,2025,OM-var,3.023893939
WB,electricity,solar,PV,2025,OM-var,3.023893939
AN,electricity,solar,PV,2030,OM-var,3.239886364
AP,electricity,solar,PV,2030,OM-var,3.239886364
AR,electricity,solar,PV,2030,OM-var,3.239886364
AS,electricity,solar,PV,2030,OM-var,3.239886364
BR,electricity,solar,PV,2030,OM-var,3.239886364
CG,electricity,solar,PV,2030,OM-var,3.239886364
CH,electricity,solar,PV,2030,OM-var,3.239886364
DD,electricity,solar,PV,2030,OM-var,3.239886364
DL,electricity,solar,PV,2030,OM-var,3.239886364
DN,electricity,solar,PV,2030,OM-var,3.239886364
GA,electricity,solar,PV,2030,OM-var,3.239886364
GJ,electricity,solar,PV,2030,OM-var,4.395050755
HR,electricity,solar,PV,2030,OM-var,3.239886364
HP,electricity,solar,PV,2030,OM-var,3.239886364
JK,electricity,solar,PV,2030,OM-var,3.239886364
JH,electricity,solar,PV,2030,OM-var,3.239886364
LA,electricity,solar,PV,2030,OM-var,3.239886364
LD,electricity,solar,PV,2030,OM-var,3.239886364
KA,electricity,solar,PV,2030,OM-var,3.239886364
KL,electricity,solar,PV,2030,OM-var,3.239886364
MH,electricity,solar,PV,2030,OM-var,3.239886364
ML,electricity,solar,PV,2030,OM-var,3.239886364
MN,electricity,solar,PV,2030,OM-var,3.239886364
MZ,electricity,solar,PV,2030,OM-var,3.239886364
MP,electricity,solar,PV,2030,OM-var,3.239886364
NL,electricity,solar,PV,2030,OM-var,3.239886364
OD,electricity,solar,PV,2030,OM-var,3.239886364
PB,electricity,solar,PV,2030,OM-var,3.239886364
PC,electricity,solar,PV,2030,OM-var,3.239886364
RJ,electricity,solar,PV,2030,OM-var,3.239886364
SK,electricity,solar,PV,2030,OM-var,3.239886364
TN,electricity,solar,PV,2030,OM-var,3.239886364
TR,electricity,solar,PV,2030,OM-var,3.239886364
TS,electricity,solar,PV,2030,OM-var,3.239886364
UP,electricity,solar,PV,2030,OM-var,3.239886364
UK,electricity,solar,PV,2030,OM-var,3.239886364
WB,electricity,solar,PV,2030,OM-var,3.239886364
AN,electricity,solar,PV,2035,OM-var,3.455878788
AP,electricity,solar,PV,2035,OM-var,3.455878788
AR,electricity,solar,PV,2035,OM-var,3.455878788
AS,electricity,solar,PV,2035,OM-var,3.455878788
BR,electricity,solar,PV,2035,OM-var,3.455878788
CG,electricity,solar,PV,2035,OM-var,3.455878788
CH,electricity,solar,PV,2035,OM-var,3.455878788
DD,electricity,solar,PV,2035,OM-var,3.455878788
DL,electricity,solar,PV,2035,OM-var,3.455878788
DN,electricity,solar,PV,2035,OM-var,3.455878788
GA,electricity,solar,PV,2035,OM-var,3.455878788
GJ,electricity,solar,PV,2035,OM-var,4.506317863
HR,electricity,solar,PV,2035,OM-var,3.455878788
HP,electricity,solar,PV,2035,OM-var,3.455878788
JK,electricity,solar,PV,2035,OM-var,3.455878788
JH,electricity,solar,PV,2035,OM-var,3.455878788
LA,electricity,solar,PV,2035,OM-var,3.455878788
LD,electricity,solar,PV,2035,OM-var,3.455878788
KA,electricity,solar,PV,2035,OM-var,3.455878788
KL,electricity,solar,PV,2035,OM-var,3.455878788
MH,electricity,solar,PV,2035,OM-var,3.455878788
ML,electricity,solar,PV,2035,OM-var,3.455878788
MN,electricity,solar,PV,2035,OM-var,3.455878788
MZ,electricity,solar,PV,2035,OM-var,3.455878788
MP,electricity,solar,PV,2035,OM-var,3.455878788
NL,electricity,solar,PV,2035,OM-var,3.455878788
OD,electricity,solar,PV,2035,OM-var,3.455878788
PB,electricity,solar,PV,2035,OM-var,3.455878788
PC,electricity,solar,PV,2035,OM-var,3.455878788
RJ,electricity,solar,PV,2035,OM-var,3.455878788
SK,electricity,solar,PV,2035,OM-var,3.455878788
TN,electricity,solar,PV,2035,OM-var,3.455878788
TR,electricity,solar,PV,2035,OM-var,3.455878788
TS,electricity,solar,PV,2035,OM-var,3.455878788
UP,electricity,solar,PV,2035,OM-var,3.455878788
UK,electricity,solar,PV,2035,OM-var,3.455878788
WB,electricity,solar,PV,2035,OM-var,3.455878788
AN,electricity,solar,PV,2040,OM-var,3.887863636
AP,electricity,solar,PV,2040,OM-var,3.887863636
AR,electricity,solar,PV,2040,OM-var,3.887863636
AS,electricity,solar,PV,2040,OM-var,3.887863636
BR,electricity,solar,PV,2040,OM-var,3.887863636
CG,electricity,solar,PV,2040,OM-var,3.887863636
CH,electricity,solar,PV,2040,OM-var,3.887863636
DD,electricity,solar,PV,2040,OM-var,3.887863636
DL,electricity,solar,PV,2040,OM-var,3.887863636
DN,electricity,solar,PV,2040,OM-var,3.887863636
GA,electricity,solar,PV,2040,OM-var,3.887863636
GJ,electricity,solar,PV,2040,OM-var,4.645401747
HR,electricity,solar,PV,2040,OM-var,3.887863636
HP,electricity,solar,PV,2040,OM-var,3.887863636
JK,electricity,solar,PV,2040,OM-var,3.887863636
JH,electricity,solar,PV,2040,OM-var,3.887863636
LA,electricity,solar,PV,2040,OM-var,3.887863636
LD,electricity,solar,PV,2040,OM-var,3.887863636
KA,electricity,solar,PV,2040,OM-var,3.887863636
KL,electricity,solar,PV,2040,OM-var,3.887863636
MH,electricity,solar,PV,2040,OM-var,3.887863636
ML,electricity,solar,PV,2040,OM-var,3.887863636
MN,electricity,solar,PV,2040,OM-var,3.887863636
MZ,electricity,solar,PV,2040,OM-var,3.887863636
MP,electricity,solar,PV,2040,OM-var,3.887863636
NL,electricity,solar,PV,2040,OM-var,3.887863636
OD,electricity,solar,PV,2040,OM-var,3.887863636
PB,electricity,solar,PV,2040,OM-var,3.887863636
PC,electricity,solar,PV,2040,OM-var,3.887863636
RJ,electricity,solar,PV,2040,OM-var,3.887863636
SK,electricity,solar,PV,2040,OM-var,3.887863636
TN,electricity,solar,PV,2040,OM-var,3.887863636
TR,electricity,solar,PV,2040,OM-var,3.887863636
TS,electricity,solar,PV,2040,OM-var,3.887863636
UP,electricity,solar,PV,2040,OM-var,3.887863636
UK,electricity,solar,PV,2040,OM-var,3.887863636
WB,electricity,solar,PV,2040,OM-var,3.887863636
AN,electricity,solar,PV,2045,OM-var,4.319848485
AP,electricity,solar,PV,2045,OM-var,4.319848485
AR,electricity,solar,PV,2045,OM-var,4.319848485
AS,electricity,solar,PV,2045,OM-var,4.319848485
BR,electricity,solar,PV,2045,OM-var,4.319848485
CG,electricity,solar,PV,2045,OM-var,4.319848485
CH,electricity,solar,PV,2045,OM-var,4.319848485
DD,electricity,solar,PV,2045,OM-var,4.319848485
DL,electricity,solar,PV,2045,OM-var,4.319848485
DN,electricity,solar,PV,2045,OM-var,4.319848485
GA,electricity,solar,PV,2045,OM-var,4.319848485
GJ,electricity,solar,PV,2045,OM-var,4.756668855
HR,electricity,solar,PV,2045,OM-var,4.319848485
HP,electricity,solar,PV,2045,OM-var,4.319848485
JK,electricity,solar,PV,2045,OM-var,4.319848485
JH,electricity,solar,PV,2045,OM-var,4.319848485
LA,electricity,solar,PV,2045,OM-var,4.319848485
LD,electricity,solar,PV,2045,OM-var,4.319848485
KA,electricity,solar,PV,2045,OM-var,4.319848485
KL,electricity,solar,PV,2045,OM-var,4.319848485
MH,electricity,solar,PV,2045,OM-var,4.319848485
ML,electricity,solar,PV,2045,OM-var,4.319848485
MN,electricity,solar,PV,2045,OM-var,4.319848485
MZ,electricity,solar,PV,2045,OM-var,4.319848485
MP,electricity,solar,PV,2045,OM-var,4.319848485
NL,electricity,solar,PV,2045,OM-var,4.319848485
OD,electricity,solar,PV,2045,OM-var,4.319848485
PB,electricity,solar,PV,2045,OM-var,4.319848485
PC,electricity,solar,PV,2045,OM-var,4.319848485
RJ,electricity,solar,PV,2045,OM-var,4.319848485
SK,electricity,solar,PV,2045,OM-var,4.319848485
TN,electricity,solar,PV,2045,OM-var,4.319848485
TR,electricity,solar,PV,2045,OM-var,4.319848485
TS,electricity,solar,PV,2045,OM-var,4.319848485
UP,electricity,solar,PV,2045,OM-var,4.319848485
UK,electricity,solar,PV,2045,OM-var,4.319848485
WB,electricity,solar,PV,2045,OM-var,4.319848485
AN,electricity,solar,PV,2050,OM-var,4.751833333
AP,electricity,solar,PV,2050,OM-var,4.751833333
AR,electricity,solar,PV,2050,OM-var,4.751833333
AS,electricity,solar,PV,2050,OM-var,4.751833333
BR,electricity,solar,PV,2050,OM-var,4.751833333
CG,electricity,solar,PV,2050,OM-var,4.751833333
CH,electricity,solar,PV,2050,OM-var,4.751833333
DD,electricity,solar,PV,2050,OM-var,4.751833333
DL,electricity,solar,PV,2050,OM-var,4.751833333
DN,electricity,solar,PV,2050,OM-var,4.751833333
GA,electricity,solar,PV,2050,OM-var,4.751833333
GJ,electricity,solar,PV,2050,OM-var,4.89575274
HR,electricity,solar,PV,2050,OM-var,4.751833333
HP,electricity,solar,PV,2050,OM-var,4.751833333
JK,electricity,solar,PV,2050,OM-var,4.751833333
JH,electricity,solar,PV,2050,OM-var,4.751833333
LA,electricity,solar,PV,2050,OM-var,4.751833333
LD,electricity,solar,PV,2050,OM-var,4.751833333
KA,electricity,solar,PV,2050,OM-var,4.751833333
KL,electricity,solar,PV,2050,OM-var,4.751833333
MH,electricity,solar,PV,2050,OM-var,4.751833333
ML,electricity,solar,PV,2050,OM-var,4.751833333
MN,electricity,solar,PV,2050,OM-var,4.751833333
MZ,electricity,solar,PV,2050,OM-var,4.751833333
MP,electricity,solar,PV,2050,OM-var,4.751833333
NL,electricity,solar,PV,2050,OM-var,4.751833333
OD,electricity,solar,PV,2050,OM-var,4.751833333
PB,electricity,solar,PV,2050,OM-var,4.751833333
PC,electricity,solar,PV,2050,OM-var,4.751833333
RJ,electricity,solar,PV,2050,OM-var,4.751833333
SK,electricity,solar,PV,2050,OM-var,4.751833333
